CustomerID,InteractionType,NumberOfInteractions
19,Feedback,7
39,Complaint,1
66,Inquiry,3
1,Inquiry,3
48,Complaint,1
57,Complaint,3
75,Feedback,1
10,Feedback,2
52,Support,3
57,Inquiry,1
75,Complaint,2
66,Feedback,2
93,Complaint,2
48,Inquiry,4
57,Feedback,1
99,Support,1
34,Support,2
39,Inquiry,3
90,Support,2
95,Inquiry,3
30,Inquiry,3
81,Support,2
86,Inquiry,2
16,Support,1
95,Feedback,2
1,Complaint,1
30,Feedback,2
72,Support,3
77,Inquiry,2
12,Inquiry,2
10,Complaint,2
19,Complaint,2
86,Feedback,3
21,Feedback,1
68,Inquiry,1
3,Inquiry,1
37,Complaint,1
46,Complaint,3
77,Feedback,1
12,Feedback,1
54,Support,1
59,Inquiry,1
64,Complaint,1
82,Complaint,2
68,Feedback,2
3,Feedback,2
45,Support,1
100,Complaint,2
59,Feedback,3
41,Inquiry,1
97,Inquiry,1
27,Support,2
32,Inquiry,2
41,Feedback,1
83,Support,1
88,Inquiry,2
18,Support,2
23,Inquiry,2
97,Feedback,2
32,Feedback,3
9,Support,3
8,Complaint,3
88,Feedback,1
23,Feedback,1
65,Support,1
26,Complaint,1
70,Inquiry,2
5,Inquiry,1
35,Complaint,1
44,Complaint,2
79,Feedback,2
14,Feedback,1
62,Complaint,1
71,Complaint,4
70,Feedback,1
80,Complaint,5
5,Feedback,3
47,Support,2
52,Inquiry,4
89,Complaint,3
98,Complaint,3
43,Inquiry,1
52,Feedback,2
94,Support,2
99,Inquiry,1
29,Support,1
34,Inquiry,2
85,Support,4
90,Inquiry,2
20,Support,2
99,Feedback,1
34,Feedback,2
76,Support,1
11,Support,1
16,Inquiry,1
6,Complaint,2
15,Complaint,1
90,Feedback,1
72,Inquiry,1
2,Support,2
7,Inquiry,2
33,Complaint,1
42,Complaint,2
81,Feedback,4
51,Complaint,1
60,Complaint,2
69,Complaint,1
72,Feedback,2
7,Feedback,1
49,Support,2
54,Inquiry,1
78,Complaint,4
96,Complaint,3
63,Feedback,2
40,Support,1
45,Inquiry,1
54,Feedback,1
96,Support,1
31,Support,1
36,Inquiry,2
45,Feedback,1
87,Support,1
22,Support,3
78,Support,1
83,Inquiry,2
13,Support,2
18,Inquiry,2
4,Complaint,1
92,Feedback,1
27,Feedback,1
69,Support,1
74,Inquiry,2
9,Inquiry,2
22,Complaint,3
31,Complaint,1
83,Feedback,1
18,Feedback,1
40,Complaint,1
60,Support,1
49,Complaint,1
74,Feedback,2
67,Complaint,1
9,Feedback,2
51,Support,1
56,Inquiry,2
76,Complaint,1
85,Complaint,3
65,Feedback,1
42,Support,2
47,Inquiry,1
56,Feedback,2
98,Support,2
33,Support,4
38,Inquiry,3
47,Feedback,2
89,Support,1
94,Inquiry,2
24,Support,2
29,Inquiry,2
80,Support,1
85,Inquiry,2
15,Support,2
20,Inquiry,2
2,Complaint,1
94,Feedback,1
29,Feedback,2
71,Support,3
6,Support,1
11,Inquiry,2
11,Complaint,1
20,Complaint,2
29,Complaint,2
85,Feedback,2
20,Feedback,1
38,Complaint,2
2,Inquiry,1
56,Complaint,1
11,Feedback,2
53,Support,4
58,Inquiry,2
65,Complaint,4
74,Complaint,1
83,Complaint,1
67,Feedback,1
2,Feedback,1
92,Complaint,1
49,Inquiry,1
58,Feedback,1
35,Support,1
40,Inquiry,1
49,Feedback,2
91,Support,1
96,Inquiry,1
26,Support,1
31,Inquiry,1
40,Feedback,3
82,Support,1
87,Inquiry,1
17,Support,3
22,Inquiry,3
73,Support,3
18,Complaint,1
27,Complaint,1
22,Feedback,1
64,Support,2
4,Inquiry,1
45,Complaint,3
54,Complaint,2
13,Feedback,1
72,Complaint,4
4,Feedback,3
46,Support,1
90,Complaint,1
99,Complaint,3
60,Feedback,2
37,Support,2
42,Inquiry,2
51,Feedback,3
98,Inquiry,1
33,Inquiry,4
42,Feedback,2
84,Support,1
19,Support,4
24,Inquiry,1
98,Feedback,3
33,Feedback,1
75,Support,1
15,Inquiry,1
7,Complaint,1
16,Complaint,3
89,Feedback,2
24,Feedback,3
66,Support,1
71,Inquiry,1
1,Support,2
6,Inquiry,1
34,Complaint,1
43,Complaint,2
80,Feedback,1
15,Feedback,1
57,Support,1
52,Complaint,1
62,Inquiry,1
61,Complaint,1
70,Complaint,1
71,Feedback,2
6,Feedback,1
79,Complaint,1
48,Support,3
53,Inquiry,1
97,Complaint,3
39,Support,1
44,Inquiry,2
53,Feedback,3
95,Support,1
100,Inquiry,3
30,Support,4
35,Inquiry,2
44,Feedback,1
21,Support,1
26,Inquiry,1
35,Feedback,2
77,Support,2
82,Inquiry,3
12,Support,2
17,Inquiry,3
5,Complaint,2
91,Feedback,1
26,Feedback,3
68,Support,1
73,Inquiry,3
3,Support,2
8,Inquiry,2
23,Complaint,1
17,Feedback,3
59,Support,4
64,Inquiry,1
50,Complaint,3
59,Complaint,2
50,Support,2
55,Inquiry,3
77,Complaint,1
86,Complaint,4
95,Complaint,1
64,Feedback,3
41,Support,1
46,Inquiry,2
55,Feedback,1
97,Support,1
32,Support,2
37,Inquiry,1
93,Inquiry,3
23,Support,3
37,Feedback,1
79,Support,3
14,Support,3
19,Inquiry,1
3,Complaint,2
93,Feedback,1
28,Feedback,4
70,Support,2
75,Inquiry,1
12,Complaint,1
10,Inquiry,2
21,Complaint,2
30,Complaint,1
