CustomerID,TotalTransactions,TotalAmount
1,4,3041.93
2,7,2708.90
3,9,5126.14
4,6,4399.88
5,7,3499.95
6,4,2418.12
7,5,2354.60
8,6,3328.82
9,4,1830.71
10,2,1300.73
11,7,4493.46
12,5,2373.50
13,7,3647.98
14,2,1586.46
15,8,3193.09
16,7,3035.63
17,4,2743.32
18,5,3500.95
19,4,2850.79
20,1,1002.26
21,7,4358.91
22,7,3064.96
23,8,3321.86
24,4,1941.85
25,9,5355.45
26,13,7652.08
27,3,2493.73
28,3,1206.97
29,8,3997.83
30,5,2466.49
31,3,1822.21
32,8,2217.44
33,4,3114.92
34,12,6591.48
35,6,2564.64
36,5,3468.40
37,8,4241.90
38,4,3134.35
39,5,2515.30
40,6,2536.53
41,6,2195.67
42,11,4668.16
43,8,4967.23
44,6,2817.67
45,3,1249.44
46,8,4366.45
47,4,2468.61
48,4,2535.81
49,5,2226.40
50,2,834.28
51,5,1903.38
52,4,2364.62
53,6,3868.76
54,6,2517.66
55,8,5935.17
56,5,3625.37
57,3,2164.02
58,7,4217.94
59,3,1892.86
60,4,1741.70
61,3,1849.08
62,5,3272.29
63,4,1640.26
64,2,1266.56
65,9,4427.48
66,5,3359.23
67,8,4070.88
68,3,2552.73
69,5,2553.90
70,12,7675.11
71,6,3393.41
72,4,1663.03
73,5,2097.45
74,3,2229.13
75,7,3528.15
76,1,56.12
77,6,3016.57
78,5,2785.35
79,11,5939.72
80,11,6854.77
81,7,4333.71
82,5,3679.50
83,5,3131.15
84,4,2484.07
85,2,1263.22
86,4,2906.78
87,6,3468.18
88,3,2117.63
89,7,3957.84
90,8,4886.87
91,4,1126.18
92,3,2339.24
93,6,3089.42
94,6,2796.92
95,5,2037.45
96,6,3226.19
97,7,4838.01
98,4,1912.21
99,5,3273.96
100,8,4268.21
