CustomerID,TotalAmountSpent
70,7675.11
26,7652.08
80,6854.77
34,6591.48
79,5939.72
55,5935.17
25,5355.45
3,5126.14
43,4967.23
90,4886.87
97,4838.01
42,4668.16
11,4493.46
65,4427.48
4,4399.88
46,4366.45
21,4358.91
81,4333.71
100,4268.21
37,4241.90
58,4217.94
67,4070.88
29,3997.83
89,3957.84
53,3868.76
82,3679.50
13,3647.98
56,3625.37
75,3528.15
18,3500.95
5,3499.95
36,3468.40
87,3468.18
71,3393.41
66,3359.23
8,3328.82
23,3321.86
99,3273.96
62,3272.29
96,3226.19
15,3193.09
38,3134.35
83,3131.15
33,3114.92
93,3089.42
22,3064.96
1,3041.93
16,3035.63
77,3016.57
86,2906.78
19,2850.79
44,2817.67
94,2796.92
78,2785.35
17,2743.32
2,2708.90
35,2564.64
69,2553.90
68,2552.73
40,2536.53
48,2535.81
54,2517.66
39,2515.30
27,2493.73
84,2484.07
47,2468.61
30,2466.49
6,2418.12
12,2373.50
52,2364.62
7,2354.60
92,2339.24
74,2229.13
49,2226.40
32,2217.44
41,2195.67
57,2164.02
88,2117.63
73,2097.45
95,2037.45
24,1941.85
98,1912.21
51,1903.38
59,1892.86
61,1849.08
9,1830.71
31,1822.21
60,1741.70
72,1663.03
63,1640.26
14,1586.46
10,1300.73
64,1266.56
85,1263.22
45,1249.44
28,1206.97
91,1126.18
20,1002.26
50,834.28
76,56.12
